codigo,descripcion,capitulo
A56.4,"Infección de faringe debida a clamidias","Ciertas enfermedades infecciosas y parasitarias"
A56.8,"Infección de transmisión sexual de otros sitios debida a clamidias","Ciertas enfermedades infecciosas y parasitarias"
A57,"Chancro blando","Ciertas enfermedades infecciosas y parasitarias"
A58,"Granuloma inguinal","Ciertas enfermedades infecciosas y parasitarias"
A59.0,"Tricomoniasis urogenital","Ciertas enfermedades infecciosas y parasitarias"
A59.8,"Tricomoniasis de otros sitios","Ciertas enfermedades infecciosas y parasitarias"
A59.9,"Tricomoniasis, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A60.0,"Infección de genitales y trayecto urogenital debida a virus del herpes [herpes simple]","Ciertas enfermedades infecciosas y parasitarias"
A60.1,"Infección de la piel perianal y recto por virus del herpes simple","Ciertas enfermedades infecciosas y parasitarias"
A60.9,"Infección anogenital por virus del herpes simple, sin otra especificación","Ciertas enfermedades infecciosas y parasitarias"
A63.0,"Verrugas (venéreas) anogenitales","Ciertas enfermedades infecciosas y parasitarias"
A63.8,"Otras enfermedades de transmisión predominantemente sexual, especificadas","Ciertas enfermedades infecciosas y parasitarias"
A64,"Enfermedad de transmisión sexual no ­especificada","Ciertas enfermedades infecciosas y parasitarias"
A65,"Sífilis no venérea","Ciertas enfermedades infecciosas y parasitarias"
A66.0,"Lesiones iniciales de frambesia","Ciertas enfermedades infecciosas y parasitarias"
A66.1,"Lesiones papilomatosas múltiples y frambesia con paso de cangrejo","Ciertas enfermedades infecciosas y parasitarias"
A66.2,"Otras lesiones precoces de la piel en la frambesia","Ciertas enfermedades infecciosas y parasitarias"
A66.3,"Hiperqueratosis de frambesia","Ciertas enfermedades infecciosas y parasitarias"
A66.4,"Goma y úlceras de frambesia","Ciertas enfermedades infecciosas y parasitarias"
A66.5,Gangosa,"Ciertas enfermedades infecciosas y parasitarias"
A66.6,"Lesiones frambésicas de los huesos y de las articulaciones","Ciertas enfermedades infecciosas y parasitarias"
A66.7,"Otras manifestaciones de frambesia","Ciertas enfermedades infecciosas y parasitarias"
A66.8,"Frambesia latente","Ciertas enfermedades infecciosas y parasitarias"
A66.9,"Frambesia, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A67.0,"Lesiones primarias de la pinta","Ciertas enfermedades infecciosas y parasitarias"
A67.1,"Lesiones intermedias de la pinta","Ciertas enfermedades infecciosas y parasitarias"
A67.2,"Lesiones tardías de la pinta","Ciertas enfermedades infecciosas y parasitarias"
A67.3,"Lesiones mixtas de la pinta","Ciertas enfermedades infecciosas y parasitarias"
A67.9,"Pinta, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A68.0,"Fiebre recurrente transmitida por piojos","Ciertas enfermedades infecciosas y parasitarias"
A68.1,"Fiebre recurrente transmitida por garrapatas","Ciertas enfermedades infecciosas y parasitarias"
A68.9,"Fiebre recurrente, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A69.0,"Estomatitis ulcerativa necrotizante","Ciertas enfermedades infecciosas y parasitarias"
A69.1,"Otras infecciones de Vincent","Ciertas enfermedades infecciosas y parasitarias"
A69.2,"Enfermedad de Lyme","Ciertas enfermedades infecciosas y parasitarias"
A69.8,"Otras infecciones especificadas por espiroquetas","Ciertas enfermedades infecciosas y parasitarias"
A69.9,"Infección por espiroqueta, no especificada","Ciertas enfermedades infecciosas y parasitarias"
A70,"Infección debida a Chlamydia psittaci","Ciertas enfermedades infecciosas y parasitarias"
A71.0,"Estado inicial de tracoma","Ciertas enfermedades infecciosas y parasitarias"
A71.1,"Estado activo de tracoma","Ciertas enfermedades infecciosas y parasitarias"
A71.9,"Tracoma, no especificado","Ciertas enfermedades infecciosas y parasitarias"
A74.0,"Conjuntivitis por clamidias (H13.1)","Ciertas enfermedades infecciosas y parasitarias"
